"Aaron Boone","Alan Trammell","Barry Bonds","Brian Giles","Carlos Delgado","Cliff Floyd","Craig Biggio","Curt Schilling","Darin Erstad","Don Mattingly","Eddie Guardado","Edgar Martinez","Fred McGriff","Gary Sheffield","Jack Morris","Jason Schmidt","Jeff Bagwell","Jeff Kent","Jermaine Dye","John Smoltz","Larry Walker","Lee Smith","Mark McGwire","Mike Mussina","Mike Piazza","Moises Alou","Nomar Garciaparra","Pedro Martinez","Randy Johnson","Rich Aurilia","Roger Clemens","Sammy Sosa","Tim Raines","Tom Gordon","Tony Clark","Troy Percival","timestamp"
"Eric Nunez","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","1","0","1","0","0","0","41636"
"Evan Grant","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41624"
"Frank Clines","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","1","1","0","1","0","0","0","0","0","41645"
"Fred Klein","0","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","1","1","0","0","1","1","0","0","0","0","0","0","0","41621"
"Fred McMane","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","41631"
"Fred Mitchell","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41639"
"Gabe Lacques","0","1","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41638"
"Garry Brown","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41608"
"Garry D Howard","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","1","1","0","0","1","1","0","1","0","0","0","0","0","41645"
"Gary Shelton","0","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","41643"
"Gene Myers","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","0","41633"
"Geoff Baker","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","41643"
"George A King III","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","0","1","1","0","0","0","0","41643"
"George Willis","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","41643"
"Gil LeBreton","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41644"
"Glenn Schwarz","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","41645"
"Gordon Edes","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41633"
"Greg Cote","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0","1","1","1","0","1","0","0","0","0","0","41643"
"Gregg Patton","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41645"
"Gregg Wong","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41645"
"Guy Curtright","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41643"
"Hal Bodley","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","41642"
"Hal McCoy","1","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","41644"
"Henry Hecht","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","41626"
"Henry Schulman","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41643"
"Herbert Stutz","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","1","1","1","0","0","0","0","0","0","0","41645"
"Hirokazu Higuchi","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","41645"
"Howard Bryant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","41641"
"Ian OConnor","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41641"
"Ivy McLemore","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","41639"
"Jack Curry","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41642"
"Jack Magruder","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","41634"
"Jack McCaffery","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","0","1","0","0","0","0","0","41609"
"Jay Dunn","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0","0","1","0","1","1","1","0","0","0","0","0","0","0","41609"
"Jay Greenberg","0","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41645"
"Jayson Stark","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41641"
"Jeff Blair","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41642"
"Jeff Fletcher","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41643"
"Jeff Horrigan","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","41645"
"Jeff Jacobs","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41626"
"Jeff Passan","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41618"
"Jeff Schultz","0","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","41642"
"Jeffrey Flanagan","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","1","1","0","1","1","1","0","0","0","41630"
"Jerry Crasnick","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41630"
"Jerry Green","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","1","0","1","0","0","0","41640"
"Jim Alexander","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","1","0","1","0","1","0","0","1","41643"
"Jim Caple","0","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41641"
"Jim Ferguson","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","41645"
