"Arthur Rhodes","Barry Bonds","Billy Wagner","Carlos Guillen","Casey Blake","Curt Schilling","Derrek Lee","Edgar Martinez","Edgar Renteria","Fred McGriff","Freddy Sanchez","Gary Sheffield","Ivan Rodriguez","J.D. Drew","Jason Varitek","Jeff Bagwell","Jeff Kent","Jorge Posada","Larry Walker","Lee Smith","Magglio Ordonez","Manny Ramirez","Matt Stairs","Melvin Mora","Mike Cameron","Mike Mussina","Orlando Cabrera","Pat Burrell","Roger Clemens","Sammy Sosa","Tim Raines","Tim Wakefield","Trevor Hoffman","Vlad Guerrero","timestamp"
"John Tomase","0","1","0","0","0","1","0","1","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","42365"
"Jon Heyman","0","1","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","1","42371"
"Jon Morosi","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","42366"
"Jorge Ebro","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","42358"
"Jose de Jesus Ortiz","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","1","42332"
"Joseph Liao","0","1","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","1","0","42358"
"Josh Dubow","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","1","1","0","0","0","42340"
"Juan Vene","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","42348"
"Karen Guregian","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","42356"
"Ken Rosenthal","0","1","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","42356"
"Kevin Cooney","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","1","1","42349"
"Kevin Kernan","0","1","0","0","0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","42368"
"Kevin Modesti","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","1","1","42378"
"Kirby Arnold","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0","0","1","0","1","1","42349"
"Larry Brooks","0","1","0","0","0","0","0","1","0","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","42352"
"Larry Stone","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","42356"
"Lowell Cohn","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","42330"
"Lynn Henning","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","42337"
"Marc Lancaster","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","42360"
"Marc Topkin","0","1","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","42355"
"Marcos Breton","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","1","1","0","1","0","42349"
"Mark Faller","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","42362"
"Mark Feinsand","0","1","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","1","42360"
"Mark Hale","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","1","42352"
"Mark Herrmann","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","42360"
"Mark Kreidler","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","42368"
"Mark Newman","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","42350"
"Mark Saxon","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","1","42352"
"Mel Antonen","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","1","42365"
"Michael Silverman","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","1","0","0","0","42364"
"Mike Bass","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","42367"
"Mike Berardino","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","42378"
"Mike Harrington","0","1","0","0","0","0","0","1","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","42364"
"Mike Lefkow","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","1","42371"
"Mike Nadel","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","42365"
"Mike Peticca","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","42368"
"Mike Puma","0","1","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","42367"
"Mike Shalin","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1","42357"
"Mike Vaccaro","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","1","42356"
"Murray Chass","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42376"
"Nick Cafardo","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","42373"
"Nick Pietruszkiewicz","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","1","1","42360"
"Pat Caputo","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","42339"
"Patrick Graham","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","1","0","1","1","42368"
"Paul Daugherty","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","42370"
"Paul Doyle","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","1","0","0","0","42363"
"Paul Hoynes","0","0","1","0","0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","1","42009"
